baseline,mean_utility,success_rate,invalid_rate,mean_action_x
explicit_mse_regression,-1.5383380282249026,0.0,1.0,0.014942297007308961
nearest_neighbor_demo_action,1.5516249838331433,1.0,0.0,-0.05425617864165528
explicit_mse_regression,-1.5066313679430088,0.0,1.0,0.041128204827860636
nearest_neighbor_demo_action,1.5505078861148351,1.0,0.0,0.06744597527210035
explicit_mse_regression,-1.4889424685652075,0.0,1.0,-0.05062794076670784
nearest_neighbor_demo_action,1.5633741142612074,1.0,0.0,-0.09557754055635186
explicit_mse_regression,-1.539848214199212,0.0,1.0,0.012872152742136692
nearest_neighbor_demo_action,1.5623154285826957,1.0,0.0,-0.011395002084774614
explicit_mse_regression,-1.4900478660826337,0.0,1.0,0.05006936879120783
nearest_neighbor_demo_action,1.5638894326371962,1.0,0.0,0.055765460696716396
