model,rows,selected_energy,selected_real_utility,low_energy_tail_real_utility,invalid_action_rate,support_distance,high_n_regret,tail_rank_correlation,dominant_gate
good,1,-1.9978119478436611,1.8507942862828943,1.7861075260087678,1.581517983654642e-10,0.054834101306197335,0.049675658913196606,0.46873168498168505,stop_early
noisy_energy,1,-3.1009621817420823,1.657443170110125,1.5925187135567855,9.874001510810527e-07,0.13123958303004618,0.24302677508596604,0.1163919413919414,stop_early
ood_low_energy,1,-3.5090260929546253,-1.440406841340477,-1.4424241529166948,1.0,0.9021872437585883,3.3408767865365676,-0.1398168498168498,collect_pilot_labels
oracle,1,-1.9004699451960907,1.9004699451960907,1.809797388214837,2.758538544144387e-12,0.02889669564690666,-4.4408920985006264e-17,1.0,stop_early
pilot_label_noise,1,-3.0803681131036593,1.696066861165343,1.5896621325268012,3.579992052479727e-07,0.10820671319898253,0.20440308403074775,0.19391941391941395,stop_early
raw_miscalibrated,1,-3.0492849973135194,-1.4270338960663458,-1.4339285193229334,1.0,0.9013984697282424,3.3275038412624367,-0.0651098901098901,collect_pilot_labels
shortcut,1,-3.265422932715567,-1.4364216228707056,-1.4514508420533692,1.0,0.9070833131840104,3.3368915680667968,-0.16001831501831504,collect_pilot_labels
smoothness_blind,1,-2.347056585000355,-0.9702198824461435,-0.909689123860981,0.8991442104817324,0.7681826250753012,2.8706898276422343,0.09669413919413919,collect_pilot_labels
support_blind,1,-3.0901448969498304,-1.4243658225900748,-1.4270733508992373,1.0,0.901304584466545,3.3248357677861655,-0.09391025641025641,collect_pilot_labels
