benchmark,task,model,extreme_rows,other_rows,extreme_tail_utility,other_tail_utility,extreme_minus_other_utility,extreme_invalid_rate,extreme_support_distance,extreme_success_rate
metaworld,button-press-v3,expert_calibrated,5,95,0.907881333316616,0.8846775667931787,0.023203766523437364,0.0,0.01044540583446172,1.0
metaworld,button-press-v3,expert_ibc,5,95,0.8940171124152068,0.8867700876692659,0.0072470247459408554,0.0,0.010218924636889124,1.0
metaworld,button-press-v3,high_reward_ablation,5,95,0.8873624804478302,0.8874332628307282,-7.078238289803807e-05,0.3333333333333333,0.010242676181316062,1.0
metaworld,button-press-v3,oracle,5,95,0.907881333316616,0.8846775667931787,0.023203766523437364,0.0,0.01044540583446172,1.0
metaworld,pick-place-v3,expert_calibrated,5,95,5.543509170325179,5.192791764062525,0.35071740626265413,0.0,0.03804631641255565,1.0
metaworld,pick-place-v3,expert_ibc,5,95,5.345247209404969,5.225622983362868,0.11962422604210055,0.06666666666666667,0.03779837348794425,1.0
metaworld,pick-place-v3,high_reward_ablation,5,95,5.2076646847863985,5.243427251331737,-0.035762566545338714,0.4666666666666666,0.03649917159564739,1.0
metaworld,pick-place-v3,oracle,5,95,5.543509170325179,5.192791764062525,0.35071740626265413,0.0,0.03804631641255565,1.0
metaworld,push-v3,expert_calibrated,5,95,6.158370792666086,5.662037649596906,0.4963331430691804,0.0,0.01298785122553014,1.0
metaworld,push-v3,expert_ibc,5,95,5.7364054606322155,5.7248992505818155,0.011506210050399979,0.26666666666666666,0.01665657373000192,1.0
metaworld,push-v3,high_reward_ablation,5,95,5.748903719397495,5.724829076089547,0.02407464330794795,0.3333333333333333,0.016574315706125622,1.0
metaworld,push-v3,oracle,5,95,6.158370792666086,5.662037649596906,0.4963331430691804,0.0,0.01298785122553014,1.0
metaworld,reach-v3,expert_calibrated,5,95,8.543419687749331,8.329640114288683,0.21377957346064846,0.0,0.04272601697193314,1.0
metaworld,reach-v3,expert_ibc,5,95,8.386540682786938,8.354586820919705,0.03195386186723326,0.0,0.04483209678477557,1.0
metaworld,reach-v3,high_reward_ablation,5,95,8.456537887727432,8.345328149823937,0.11120973790349531,0.0,0.04348566500028332,1.0
metaworld,reach-v3,oracle,5,95,8.543419687749331,8.329640114288683,0.21377957346064846,0.0,0.04272601697193314,1.0
